,City,Date,Country,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness
0,filadelfia,1547630992.0,PY,-22.35,-60.04,83.12000000000006,63.0,10.6702038,0.0
1,cedral,1547645248.0,MX,23.82,-100.72,41.360000000000085,93.0,3.2883018,36.0
2,hobart,1547578284.0,AU,-42.88,147.33,66.2,55.0,8.052984,75.0
3,ribeira grande,1547629831.0,PT,38.52,-28.7,57.2,87.0,4.697574,40.0
4,aklavik,1547667093.0,CA,68.22,-135.01,-16.59999999999995,68.0,10.289924,5.0
5,lavrentiya,1547672758.0,RU,65.58,-170.99,31.50500000000004,95.0,16.7099418,88.0
7,punta arenas,1547628230.0,CL,-53.16,-70.91,41.0,60.0,16.105968,40.0
8,sucua,1547637307.0,EC,-2.46,-78.17,63.05,93.0,2.3935258000000004,92.0
10,cabo san lucas,1547647353.0,MX,22.89,-109.91,71.55500000000004,100.0,7.762181800000001,0.0
11,linxia,1547597754.0,CN,35.6,103.21,31.23500000000008,20.0,3.9593838000000003,0.0
12,east london,1547608560.0,ZA,-33.02,27.91,69.80000000000001,94.0,14.987498000000002,75.0
13,barrow,1547628939.0,AR,-38.31,-60.23,67.86500000000002,82.0,13.913766800000001,0.0
14,ushuaia,1547627062.0,AR,-54.81,-68.31,39.2,64.0,20.803542000000004,75.0
15,sibolga,1547595214.0,ID,1.74,98.78,74.75,97.0,0.9395148,64.0
16,lagoa,1547624767.0,PT,37.14,-8.45,46.4,93.0,6.934514000000001,0.0
17,lebu,1547610297.0,ET,8.96,38.73,74.30000000000001,18.0,5.1897008,0.0
18,chuy,1547628008.0,UY,-33.69,-53.46,70.16000000000008,100.0,4.1830778,92.0
19,saint-philippe,1547641743.0,CA,45.36,-73.48,30.002000000000077,86.0,11.408394,90.0
20,souillac,1547624306.0,FR,45.6,-0.6,32.19800000000002,92.0,3.35541,68.0
21,springbok,1547611414.0,ZA,-29.67,17.88,87.08000000000004,15.0,4.4067718000000005,0.0
22,kieta,1547580830.0,PG,-6.22,155.63,79.20500000000004,100.0,2.5053728000000004,92.0
23,tuktoyaktuk,1547669076.0,CA,69.44,-133.03,-8.184999999999981,99.0,10.782050800000002,0.0
25,cidreira,1547627704.0,BR,-30.17,-50.22,76.68500000000009,87.0,8.2095698,12.0
26,rikitea,1547648899.0,PF,-23.12,-134.97,80.9600000000001,95.0,11.9005208,92.0
